"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Time-Optimized Online Planning For Parallel Parking With Nonlinear Optimization and Improved Monte Carlo Tree Search","S. Song; H. Chen; H. Sun; M. Liu; T. Xia","School of Automotive Studies, Tongji University, Shanghai, China; School of Automotive Studies, Tongji University, Shanghai, China; School of Automotive Studies, Tongji University, Shanghai, China; School of Automotive Studies, Tongji University, Shanghai, China; School of Automotive Studies, Tongji University, Shanghai, China","IEEE Robotics and Automation Letters","24 Jan 2022","2022","7","2","2226","2233","Automatic parallel parking is critical to increase safety in urban narrow parking spots, maximize the traffic efficiency, and provide human drivers with mobility and convenience. Recent research integrates Monte Carlo tree search (MCTS) and artificial neural networks (ANNs) to calculate optimal lateral motions without considering the longitudinal aspect and narrow spots; advances in nonlinear programming-based (NPB) parking methods consider time-optimal parking motion in narrow spots using the time-consuming optimization calculation. To address the computational efficiency of the planning of time-optimal parking maneuvers, a complete framework relying on the two compositions was introduced. First, nonlinear optimization that formulates the minimum motion time and vehicle constraint was used to generate the data of parking motions offline. These motions were subsequently learned by ANNs. Second, the ANNs trained on the offline data were employed by an improved MCTS to generate approximate time-optimal parking motions online. The time-optimized performance and run-time performance of the proposed method were confirmed by comparing with that of NPB and other mainstream methods. A success rate of 100% for parking slots with merely 10% larger length than the vehicle was realized in simulations. Experiments were conducted on a full-sized pure electric vehicle to further confirm the effectiveness of the proposed method.","2377-3766","","10.1109/LRA.2021.3139950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9669069","Motion and path planning;AI-based methods;intelligent transportation systems","Planning;Optimization;Kinematics;Trajectory;Training;Safety;Monte Carlo methods","","6","","29","IEEE","4 Jan 2022","","","IEEE","IEEE Journals"
"Task and Motion Informed Trees (TMIT*): Almost-Surely Asymptotically Optimal Integrated Task and Motion Planning","W. Thomason; M. P. Strub; J. D. Gammell","Department of Computer Science, Rice University, Houston, TX, USA; Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Estimation, Search, and Planning (ESP) Group, Oxford Robotics Institute, University of Oxford, Oxford, U.K.","IEEE Robotics and Automation Letters","29 Aug 2022","2022","7","4","11370","11377","High-level autonomy requires discrete and continuous reasoning to decide both what actions to take and how to execute them. Integrated Task and Motion Planning (TMP) algorithms solve these hybrid problems jointly to consider constraints between the discrete symbolic actions (i.e., the task plan) and their continuous geometric realization (i.e., motion plans). This joint approach solves more difficult problems than approaches that address the task and motion subproblems independently. TMP algorithms combine and extend results from both task and motion planning. TMP has mainly focused on computational performance and completeness and less on solution optimality. Optimal TMP is difficult because the independent optima of the subproblems may not be the optimal integrated solution, which can only be found by jointly optimizing both plans. This letter presents Task and Motion Informed Trees (TMIT*), an optimal TMP algorithm that combines results from makespan-optimal task planning and almost-surely asymptotically optimal motion planning. TMIT* interleaves asymmetric forward and reverse searches to delay computationally expensive operations until necessary and perform an efficient informed search directly in the problem's hybrid state space. This allows it to solve problems quickly and then converge towards the optimal solution with additional computational time, as demonstrated on the evaluated robotic-manipulation benchmark problems.","2377-3766","","10.1109/LRA.2022.3199676","National Defense Science and Engineering Graduate Fellowship; U.K. Research and Innovation/EPSRC(grant numbers:EP/S030832/1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9869707","Task and motion planning;AI-based methods;manipulation planning;motion and path planning","Costs;Search problems;Cost function;Path planning;Hybrid power systems;Planning;Delays","","5","","38","IEEE","29 Aug 2022","","","IEEE","IEEE Journals"
"GNGraph: Self-Organizing Maps for Autonomous Aerial Vehicle Planning","E. P. Herrera-Alarcón; M. Satler; M. Vannucci; C. A. Avizzano","Perceptual Robotics Laboratory at the IIM Institute, Department of Excellence in Robotics and A.I., Scuola Superiore Sant'Anna, Pisa, Italy; Perceptual Robotics Laboratory at the IIM Institute, Department of Excellence in Robotics and A.I., Scuola Superiore Sant'Anna, Pisa, Italy; ICT-COISP at the TeCIP Institute, Department of Excellence in Robotics and A.I., Scuola Superiore Sant'Anna, Pisa, Italy; Perceptual Robotics Laboratory at the IIM Institute, Department of Excellence in Robotics and A.I., Scuola Superiore Sant'Anna, Pisa, Italy","IEEE Robotics and Automation Letters","9 Aug 2022","2022","7","4","10721","10728","The present letter tackles the problem of planning a collision-free path in a known environment from a general point of view. We address the problem by using an unsupervised learning algorithm to generate a sparse graph representing the topological structure of the environment and use it for planning paths in 3D spaces. We propose GNGraph, an integrated solution combining the Growing Neural Gas algorithm to generate the sparse graph, a stop criterion to guarantee the graph's connectivity and a collision check to assess the edges and nodes validity. The proposed solution has been tested on simulated and real environment maps, and compared against a state-of-the-art graph planning algorithm among other global planning methods.","2377-3766","","10.1109/LRA.2022.3195192","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9846934","Aerial systems: perception and autonomy;aerial systems: applications;AI-based methods;autonomous vehicle navigation;integrated planning and learning","Planning;Topology;Three-dimensional displays;Navigation;Skeleton;Robots;Location awareness","","1","","35","IEEE","1 Aug 2022","","","IEEE","IEEE Journals"
"A Deployment Model to Extend Ethically Aligned AI Implementation Method ECCOLA","J. Antikainen; M. Agbese; H. -K. Alanen; E. Halme; H. Isomäki; M. Jantunen; K. -K. Kemell; R. Rousi; H. Vainio-Pekka; V. Vakkuri","Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland","2021 IEEE 29th International Requirements Engineering Conference Workshops (REW)","27 Oct 2021","2021","","","230","235","There is a struggle in Artificial intelligence (AI) ethics to gain ground in actionable methods and models to be utilized by practitioners while developing and implementing ethically sound AI systems. AI ethics is a vague concept without a consensus of definition or theoretical grounding and bearing little connection to practice. Practice involving primarily technical tasks like software development is not aptly equipped to process and decide upon ethical considerations. Efforts to create tools and guidelines to help people working with AI development have been concentrating almost solely on the technical aspects of AI. A few exceptions do apply, such as the ECCOIA method for creating ethically aligned AI -systems. ECCOIA has proven results in terms of increased ethical considerations in AI systems development. Yet, it is a novel innovation, and room for development still exists. This study aims to extend ECCOIA with a deployment model to drive the adoption of ECCOIA, as any method - no matter how good -is of no value without adoption and use. The model includes simple metrics to facilitate the communication of ethical gaps or outcomes of ethical AI development. It offers the opportunity to assess any AI system at any given life-cycle phase, e.g., opening possibilities like analyzing the ethicality of an AI system under acquisition.","","978-1-6654-1898-0","10.1109/REW53955.2021.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582298","Artificial intelligence;AI ethics;ECCOIA;software engineering;product lifecycle;adoption model","Measurement;Ethics;Technological innovation;Conferences;Tools;Software;Requirements engineering","","1","","28","IEEE","27 Oct 2021","","","IEEE","IEEE Conferences"
"End-to-End From Human Hand Synergies to Robot Hand Tendon Routing","D. Hidalgo-Carvajal; C. Herneth; A. Naceri; S. Haddadin","Chair of Robotics and Systems Intelligence, MIRMI - Munich Institute of Robotics and Machine Intelligence, Technical University of Munich (TUM), Munich, Germany; Chair of Robotics and Systems Intelligence, MIRMI - Munich Institute of Robotics and Machine Intelligence, Technical University of Munich (TUM), Munich, Germany; Chair of Robotics and Systems Intelligence, MIRMI - Munich Institute of Robotics and Machine Intelligence, Technical University of Munich (TUM), Munich, Germany; Chair of Robotics and Systems Intelligence, MIRMI - Munich Institute of Robotics and Machine Intelligence, Technical University of Munich (TUM), Munich, Germany","IEEE Robotics and Automation Letters","1 Aug 2022","2022","7","4","10057","10064","The human hand capabilities are paramount for highly dexterous manipulation interactions. Unfortunately, the limitations of current technologies make replicating such capabilities unfeasible. Although several works have focused on directly attempting to create robot hands able to mimic human ones closely, few of them have attempted to create generalizable platforms, where robotic hand mechanisms can be iteratively selected and customized to different tasks. In order to build highly dexterous robotic hands in the future, it is crucial to understand not only human manipulation, but also develop methods to leverage robotic mechanisms limitations to mimic human hand interactions accurately. In this letter, we propose an end-to-end framework capable of generating underactuated tendon routings that allow a generic robot hand model to reproduce desired observed human grasp motion synergies accurately. Our contributions are threefold: (1) an end to end framework to generate task-oriented robot hand tendon routings, with the potential to implement desired synergies, (2) a novel grammar based representation of robot hand tendon routings, and (3) a schematic visualization of robot hand tendon routings. The latter two contributions have the potential to embed and compare properties among robot hands. Our results in simulation show that the proposed method produces tendon routing mechanisms that are able to closely mimic the joint trajectories of human subjects performing the same experimental tasks, while achieving dynamically stable grasping postures.","2377-3766","","10.1109/LRA.2022.3192649","Deutsche Forschungsgemeinschaft; Deutsche Forschungsgemeinschaft; Technische Universität Dresden(grant numbers:390696704); Lighthouse Initiative Geriatronics; StMWi Bayern(grant numbers:IUK-1807-0007//IUK582/001); LongLeif GaPa gGmbH; Bavarian State Ministry for Economic Affairs, Regional Development and Energy(grant numbers:DIK0249); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9834078","Multifingered hands;In-Hand manipulation;grasping;AI-based methods;dexterous manipulation","Robots;Tendons;Routing;Grammar;Grasping;Task analysis;Robot kinematics","","","","33","IEEE","20 Jul 2022","","","IEEE","IEEE Journals"
"A Review on Various Artificial Intelligence Techniques Used for Transmission Line Fault Location","S. Chakrabarti; S. Chakrabarti; A. Swetapadma","School of Computer Engineering, KIIT University, Bhubaneswar, India; School of Computer Engineering, KIIT University, Bhubaneswar, India; School of Computer Engineering, KIIT University, Bhubaneswar, India","2018 3rd International Conference on Inventive Computation Technologies (ICICT)","12 Mar 2020","2018","","","105","109","Transmission line fault location has been estimated using various methods such as conventional distance relaying, differential relaying, artificial intelligent (AI) methods etc. Among all the methods AI based methods locates fault more accurately than others. In this work various AI methods used for transmission line fault location has been discussed with their advantages and limitations. Different AI methods that have been discussed are nearest neighbor algorithm, linear regression, logistic regression, artificial neural network, support vector machine, decision tree. With the various advantages of AI methods, it can be used effectively for locating faults in transmission lines.","","978-1-5386-4985-5","10.1109/ICICT43934.2018.9034333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9034333","Fault Location;Transmission Lines;Artificial Intelligence","Artificial intelligence;Linear regression;Power transmission lines;Artificial neural networks;Support vector machines;Neurons;Decision trees","","2","","8","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Wearables as Part of Decision Support System in Parkinson's Disease Prediagnosis: A Case Study","P. Faragó; A. -S. Popescu; L. Perju-Dumbravă; R. R. Ileşan","Bases of Electronics Department, Technical University of Cluj-Napoca, Cluj-Napoca, Romania; Department of Neurology and Pediatric Neurology, “Iuliu Hatieganu” University of Medicine and Pharmacy, Cluj-Napoca, Romania; Department of Neurology and Pediatric Neurology, “Iuliu Hatieganu” University of Medicine and Pharmacy, Cluj-Napoca, Romania; Clinic of Oral and Cranio-Maxillofacial Surgery, University Hospital Basel, Basel, Switzerland","2022 E-Health and Bioengineering Conference (EHB)","2 Jan 2023","2022","","","1","4","Parkinson's disease (PD) is a progressive neurodegenerative disorder which affects 6.1million people worldwide and bears enormous financial implications. Trends to reduce the costs of PD management target early diagnosis and are oriented towards wearables and artificial intelligence support. This paper presents a case study which investigates the applicability of our previously developed small-size wearable physiograph with an AI-based assessment procedure to provide intelligent decision support in the diagnosis of PD. Our case study presents a 56-year-old female patient that undergone a three-task examination: writing, speaking, and walking. A discussion regarding contextual interpretation of the examination results is provided.","2575-5145","978-1-6654-8557-9","10.1109/EHB55594.2022.9991543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9991543","Artificial intelligence;biomedical monitoring;convolutional neural networks;diagnostics;Parkinson's disease","Legged locomotion;Decision support systems;Pathology;Musculoskeletal system;Protocols;Parkinson's disease;Wearable computers","","1","","13","IEEE","2 Jan 2023","","","IEEE","IEEE Conferences"
"Beyond Industry 4.0: Leveraging AI-powered Anomalous Sound Detection for Smart Maintenance","B. Mrazovac; V. Ilian; M. Hulea","Department for R&D and Future Technologies, Faculty of Technical Science Novi Sad, NTT Data Romania, Serbia; Department for R&D and Future Technologies, NTT Data Romania, Bucharest, Romania; Department for R&D and Future Technologies, NTT Data Romania Technical University of Cluj-Napoca, Cluj-Napoca, Romania","2021 Zooming Innovation in Consumer Technologies Conference (ZINC)","2 Aug 2021","2021","","","43","47","The ongoing global changes, pushing the digital transformation to Industry 4.0, have been reflected in the launch of new services and process innovations tackling the existing pressure on costs and prices. In this context, AI is becoming an integral part of all future smart maintenance endeavors. The new generation of intelligent maintenance systems, driven by big data analysis and advanced diagnostics, are already guiding automated predictive innovation towards the idea of zero-failure activity. Automated detection of failures is crucial for smart maintenance, for building AI-based factory automation. In this context, the paper describes a solution for detecting failures based on sound obtained from the target machines. Abnormal sound data is difficult to collect, as it rarely occurs and is being hard to extract from a noisy environment and could have various patterns. The proposed solution detects anomalous sound after training the machine-learning model only with the normal operating sound of machines in a factory environment.","","978-1-6654-0417-4","10.1109/ZINC52049.2021.9499309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499309","sound anomaly detection;predictive maintenance","Training;Industries;Technological innovation;Machine learning;Maintenance engineering;Real-time systems;Production facilities","","","","18","IEEE","2 Aug 2021","","","IEEE","IEEE Conferences"
"A Evolutionary Behavior Tree AI for Neural MMO Challenge","K. Zhang; C. Xu","Department of Information Systems, Dalian Naval Academy, Dalian, China; Department of Information Systems, Dalian Naval Academy, Dalian, China","2022 4th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM)","27 Mar 2023","2022","","","327","332","The Neural MMO Challenge aims to study robustness and teamwork in large-scale multi-agent environments. AI needs to explore, search and fight in large-scale environments, and get higher scores than other competitors. Therefore, we developed AI based on evolutionary behavior tree, which has the advantages of strong interpretability, low coupling between modules and strong robustness. Specifically, the AI adopts the idea of divide and conquer, divides the decision-making into two levels: team and individual, divides the four task achievements into several subtasks, finds appropriate agents for each subtask according to the current advantages, and then completes specific actions such as attack, foraging, avoidance and collaboration, and optimizes the parameters with evolutionary strategy algorithm.AI won the silver medal in IJCAI 2022 Neural MMO Challenge.","","978-1-6654-6399-7","10.1109/AIAM57466.2022.00069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10071388","Behavior tree;evolutionary algorithm;nmmo;multi-agent decision-making","Couplings;Silver;Machine learning algorithms;Decision making;Neural networks;Robustness;Behavioral sciences","","","","11","IEEE","27 Mar 2023","","","IEEE","IEEE Conferences"
"Artificial intelligence in boiler control","K. Raghupathy; R. K. Yadav","Department of Atomic Energy, Indira Gandhi Centre for Atomic Research, Kalpakkam, India; Department of Atomic Energy, Indira Gandhi Centre for Atomic Research, Kalpakkam, India","2015 International Conference on Robotics, Automation, Control and Embedded Systems (RACE)","30 Apr 2015","2015","","","1","6","Artificial Intelligence (AI) techniques are becoming useful as alternate approaches to conventional techniques. They have been used to solve complicated practical problems and now a day is very popular. They can learn from examples, fault tolerant in the sense they are able to handle noisy and incomplete data and once trained can perform faster prediction and generalization. AI based systems are used mainly because of their symbolic reasoning, flexibility and explanation capabilities. This paper briefly presents the main AI techniques and outlines an application in boiler control. Master controller is required for a steam generating system having multiple boilers operating in parallel. AI technique of Fuzzy logic controller is proposed as master controller. The optimum performance of individual boilers is achieved by the master controller meeting the varying load demands of the steam system.","","978-8-1925-9743-0","10.1109/RACE.2015.7097268","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7097268","fuzzy control;optimization;boilers;load manager","Boilers;Fuzzy logic;Combustion;Artificial intelligence;Pragmatics;Input variables","","","","4","","30 Apr 2015","","","IEEE","IEEE Conferences"
"An Intelligent Two-Phase Automated Architecture for Securing SDN-Based IoT Infrastructure","M. SafaeiSisakht; C. -H. Hsu; P. -Y. Hsu; M. -Y. Chen","Department of Computer Science and Information Engineering, Asia University, Taichung, Taiwan; Department of Computer Science and Information Engineering, Asia University, Taichung, Taiwan; Department of Mechanical Engineering, National Chung Cheng University, Chiayi, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan","2023 IEEE 3rd International Conference on Electronic Communications, Internet of Things and Big Data (ICEIB)","7 Jul 2023","2023","","","12","16","The Internet of Things (IoT) will bring many opportunities in the next years. However, IoT devices have processing and power limitation. Thus, security remains one of the main challenges. Software-defined networking (SDN) helps traditional IoT infrastructure become manageable and flexible in a centralized fashion. The SDN-IoT architecture tackles the security issue of IoT networks. The proposed architecture adds a new security engine to the controller. The security engine consists of the monitoring, intelligent sub-layer, analyzing/detection engine, reaction, and config engine to automatically monitor, analyze, classify, detect, and generate a proper reaction to the possible threads in two phases. The config engine automatically rearranges the security rules and applies the set of rules as a new configuration to the devices (switches) in the data layer. The intelligent sub-layer uses AI-based feature selection (Bat Algorithm) and classification (Random Forest) algorithms to reveal the possible threats and forward its output to the analyzing/detecting engine to examine it and make the alerts. The cooperation of the intelligent sub-layer and analyzing/detection engine in the two mentioned steps help the system improve the overall system performance and false positive alerts. The proposed architecture follows new security rules based on the network status such as bandwidth minimization and traffic. All the process automatically makes by the security engine and protects the entire network from different threats and attacks.","","979-8-3503-3386-2","10.1109/ICEIB57887.2023.10170386","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10170386","IoT;SDN;Security;Random forest;Bat algorithm","Radio frequency;System performance;Feature extraction;Classification algorithms;Security;Internet of Things;Software defined networking","","","","14","IEEE","7 Jul 2023","","","IEEE","IEEE Conferences"
"Can Deep Learning Improve Technical Analysis of Forex Data to Predict Future Price Movements?","M. Fisichella; F. Garolla","L3S Research Center, Leibniz University of Hannover, Hannover, Germany; SLR Engineering, Graz, Austria","IEEE Access","19 Nov 2021","2021","9","","153083","153101","The foreign exchange market (Forex) is the world’s largest market for trading foreign money, with a trading volume of over 5.1 trillion dollars per day. It is known to be very complicated and volatile. Technical analysis is the observation of past market movements with the aim of predicting future prices and dealing with the effects of market movements. A trading system is based on technical indicators derived from technical analysis. In our work, a complete trading system with a combination of trading rules on Forex time series data is developed and made available to the scientific community. The system is implemented in two phases: In the first phase, each trading rule, both the AI-based rule and the trading rules from the technical indicators, is tested for selection; in the second phase, profitable rules are selected among the qualified rules and combined. Training data is used in the training phase of the trading system. The proposed trading system was extensively trained and tested on historical data from 2010 to 2021. To determine the effectiveness of the proposed method, we also conducted experiments with datasets and methodologies used in recent work by Hernandez-Aguila et al., 2021 and by Munkhdalai et al., 2019. Our method outperforms all other methodologies for almost all Forex markets, with an average percentage gain of 20.2%. A particular focus was on training our AI-based rule with two different architectures: the first is a widely used convolutional network for image classification, i.e. ResNet50; the second is an attention-based network Vision Transformer (ViT). The results provide a clear answer to the main question that guided our research and which is the title of this paper.","2169-3536","","10.1109/ACCESS.2021.3127570","European Commission for the eXplainable Artificial Intelligence in healthcare Management (xAIM) Project(grant numbers:INEA/CEF/ICT/A2020/2276680); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9612217","Forex;expert advisor;genetic algorithm;metatrader;technical analysis;technical indicators;trading rules;trading system","Currencies;Neural networks;Support vector machines;Predictive models;Optimization;Training;Genetic algorithms","","15","","32","CCBY","11 Nov 2021","","","IEEE","IEEE Journals"
"On STPA for Distributed Development of Safe Autonomous Driving: An Interview Study","A. Nouri; C. Berger; F. Törner","Volvo Cars, Gothenburg, Sweden; Sweden Department of Computer Science and Engineering, University of Gothenburg; Volvo Cars, Gothenburg, Sweden","2023 49th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","1 Jan 2024","2023","","","5","12","Safety analysis is used to identify hazards and build knowledge during the design phase of safety-relevant functions. This is especially true for complex AI-enabled and software intensive systems such as Autonomous Drive (AD). System-Theoretic Process Analysis (STPA) is a novel method applied in safety-related fields like defense and aerospace, which is also becoming popular in the automotive industry. However, STPA assumes prerequisites that are not fully valid in the automotive system engineering with distributed system development and multi-abstraction design levels. This would inhibit software developers from using STPA to analyze their software as part of a bigger system, resulting in a lack of traceability. This can be seen as a maintainability challenge in continuous development and deployment (DevOps). In this paper, STPA’s different guidelines for the automotive industry, e.g. J31887/ISO21448/STPA handbook, are firstly compared to assess their applicability to the distributed development of complex AI-enabled systems like AD. Further, an approach to overcome the challenges of using STPA in a multilevel design context is proposed. By conducting an interview study with automotive industry experts for the development of AD, the challenges are validated and the effectiveness of the proposed approach is evaluated.","2376-9521","979-8-3503-4235-2","10.1109/SEAA60479.2023.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10371692","System Theoretic Process Analysis;STPA;safety-related function;autonomous driving;functional safety (FUSA);safety of the intended function (SOTIF)","Industries;DevOps;Systems engineering and theory;Software;Hazards;Interviews;Autonomous vehicles","","","","16","IEEE","1 Jan 2024","","","IEEE","IEEE Conferences"
"Neuromorphic Near-Sensor Computing: From Event-Based Sensing to Edge Learning","A. Safa; J. Van Assche; M. D. Alea; F. Catthoor; G. G. E. Gielen","IMEC and KU Leuven, Leuven, Belgium; KU Leuven, Leuven, Belgium; KU Leuven, Leuven, Belgium; IMEC and KU Leuven, Leuven, Belgium; IMEC and KU Leuven, Leuven, Belgium","IEEE Micro","31 Oct 2022","2022","42","6","88","95","Neuromorphic near-sensor computing has recently emerged as a low-power and low-memory paradigm for the design of artificial intelligence (AI)-enabled IoT devices working at the extreme edge. Compared to conventional sensing and learning techniques, neuromorphic sampling, and processing reduces data bandwidth requirements, induces large savings on power and area consumption, and enables online learning and adaptation. In this article, we discuss recent studies made in the design of event-based sampling and learning circuits. We show that our event-based sampling methods outperform conventional techniques in terms of power consumption. We also show that our spiking neural network (SNN), learning through spike-timing-dependent plasticity (STDP), outperforms the state-of-the-art SNN-STDP systems in terms of inference accuracy while being orders of magnitude more power efficient than conventional deep-learning systems. We hope that the opportunities discussed in this summary article will inspire future research.","1937-4143","","10.1109/MM.2022.3195634","Flemish Government; INTUITIVE—EU Horizon 2020 project(grant numbers:861166); KUL internal; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9847074","","Neurons;Neuromorphics;Encoding;Sensors;Cameras;System-on-chip;Power demand;Low power electronics;Event detection;Edge computing","","4","","18","IEEE","1 Aug 2022","","","IEEE","IEEE Magazines"
"A New Fracture Liaison Service Using the Mobile Application and IoT Sensor","S. -W. Kim; Y. -J. Won; D. -S. Chae; H. -J. Chang","Cardio-vascular Information Communication Technology Research Center, Yonsei University College of Medicine, Seoul, South Korea; Cardio-vascular Information Communication Technology Research Center, Yonsei University College of Medicine, Seoul, South Korea; Cardio-vascular Information Communication Technology Research Center, Yonsei University College of Medicine, Seoul, South Korea; Cardio-vascular Information Communication Technology Research Center, Yonsei University College of Medicine, Seoul, South Korea","2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","7 Oct 2019","2019","","","3486","3489","While the clinical design of a Fracture Liaison Service(FLS) has been used as a localized healthcare service in a previous study, thus far there has not been an international mobile application, such as a FLS using smart phones. In addition, we developed a safety monitoring system using IoT sensor for a smart wheelchair. Our FLS is able to give patient various fall-related predictions with a safety monitoring system on this mobile application. The goal of our study is to improve the prevention of secondary fractures from our FLS application. We have developed a Fracture Liaison Service as an Android-OS application and released this service as a secondary fracture prevention program for osteoporotic fracture patients. We have released the final version of the FLS mobile application in Google's PlayStore. The new model of the FLS mobile application can be practically commercialized, and the effective second-order fracture prevention system is based on an open policy platform. We hope to contribute to the prevention and management of osteoporotic fractures and osteoporosis worldwide via this FLS mobile application. In the future, an intelligent personal FLS is definitely possible, by applying a Medical AI based on a huge DB.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8857094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8857094","FLS;osteoporosis;fracture prevention;patient education;smartphone applications;IoT sensor","Wheelchairs;Guidelines;Safety;Monitoring;Osteoporosis;Mobile applications","Bone Density Conservation Agents;Humans;Mobile Applications;Osteoporosis;Osteoporotic Fractures;Secondary Prevention","","","12","IEEE","7 Oct 2019","","","IEEE","IEEE Conferences"
"Sea-battlefield situation assessment based on a new method combining dynamic Bayesian network with pattern matching","J. Ma; L. Liu","National Key Laboratory of Science and Technology on Integrated Control Technology Beihang University, Beijing, China; National Key Laboratory of Science and Technology on Integrated Control Technology Beihang University, Beijing, China","Proceedings of 2014 IEEE Chinese Guidance, Navigation and Control Conference","15 Jan 2015","2014","","","1764","1769","Sea-battlefield situation is a dynamic, nonlinear and multi-dimensional system where Artificial Intelligence (AI) system has a good role to play. Bayesian Network has a strong knowledge skills and reasoning ability to solve the problem of sea-battlefield situation assessment. After constructing the network, giving the probability, considering the time factor and then combining with Pattern Matching using a rule set, sea-battlefield situation assessment can be achieved. The knowledge representation will be discussed and how to complete reasoning through Bayesian Network and Pattern Matching will be researched. In the end, a simulation will illustrate the combining method has a good performance in sea-battle-field situation assessment.","","978-1-4799-4699-0","10.1109/CGNCC.2014.7007450","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7007450","Sea-battlefield;Situation assessment;Bayesian Network;Pattern Matching","Bayes methods;Pattern matching;Cognition;Aircraft;Real-time systems;Meteorology;Time factors","","2","","18","IEEE","15 Jan 2015","","","IEEE","IEEE Conferences"
"Driving style imitation in simulated car racing using style evaluators and multi-objective evolution of a fuzzy logic controller","T. Wang; K. -T. Liaw","Department of Computer Science, National Chiao Tung University, Hsinchu City, Taiwan, R.O.C.; Department of Computer Science, National Chiao Tung University, Hsinchu City, Taiwan, R.O.C.","2014 IEEE Conference on Norbert Wiener in the 21st Century (21CW)","8 Sep 2014","2014","","","1","7","This paper describes a new approach to driving style imitation in simulated car racing games. Our goal is to be able to create non-personal characters (NPCs) that both run competitively and exhibit some driving style traits of the player being imitated. We introduce a style evaluator function that can measure the style similarity between driving records even from different tracks. The effectiveness of such style evaluators are verified using driving records of both NPCs and human players. To build NPC drivers that can imitate particular human players, we use a base driver AI based on a fuzzy logic controller and optimizes its parameters using multi-objective evolution. This is the first work on driver imitation that actually allows several human players to drive in their only natural, not instructed, styles. Our results show evidences that the created imitator NPCs do possess traits of styles of the respective human players being modeled.","","978-1-4799-4562-7","10.1109/NORBERT.2014.6893872","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6893872","simulated car racing;TORCS;fuzzy rules;multi-objective evolution;computer games;player imitation","Target tracking;Acceleration;Sensors;Games;Training;Vehicles;Accidents","","4","","14","IEEE","8 Sep 2014","","","IEEE","IEEE Conferences"
