"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","EID"
"Letaief K.B.; Shi Y.; Lu J.; Lu J.","Letaief, Khaled B. (55666697100); Shi, Yuanming (55695283900); Lu, Jianmin (55701380700); Lu, Jianhua (7601561492)","55666697100; 55695283900; 55701380700; 7601561492","Edge Artificial Intelligence for 6G: Vision, Enabling Technologies, and Applications","2022","IEEE Journal on Selected Areas in Communications","40","1","","5","36","31","10.1109/JSAC.2021.3126076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119402748&doi=10.1109%2fJSAC.2021.3126076&partnerID=40&md5=788834e2a9956cbf8a095a6f60bb5cf7","The thriving of artificial intelligence (AI) applications is driving the further evolution of wireless networks. It has been envisioned that 6G will be transformative and will revolutionize the evolution of wireless from 'connected things' to 'connected intelligence'. However, state-of-the-art deep learning and big data analytics based AI systems require tremendous computation and communication resources, causing significant latency, energy consumption, network congestion, and privacy leakage in both of the training and inference processes. By embedding model training and inference capabilities into the network edge, edge AI stands out as a disruptive technology for 6G to seamlessly integrate sensing, communication, computation, and intelligence, thereby improving the efficiency, effectiveness, privacy, and security of 6G networks. In this paper, we shall provide our vision for scalable and trustworthy edge AI systems with integrated design of wireless communication strategies and decentralized machine learning models. New design principles of wireless networks, service-driven resource allocation optimization methods, as well as a holistic end-to-end system architecture to support edge AI will be described. Standardization, software and hardware platforms, and application scenarios are also discussed to facilitate the industrialization and commercialization of edge AI systems.  © 1983-2012 IEEE.","2-s2.0-85119402748"
"Sarker I.H.; Furhad M.H.; Nowrozy R.","Sarker, Iqbal H. (56997358700); Furhad, Md Hasan (56092021900); Nowrozy, Raza (57219271902)","56997358700; 56092021900; 57219271902","AI-Driven Cybersecurity: An Overview, Security Intelligence Modeling and Research Directions","2021","SN Computer Science","2","3","173","","","","10.1007/s42979-021-00557-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131828113&doi=10.1007%2fs42979-021-00557-0&partnerID=40&md5=1f5aca049ff12eef884696a5d9232cd8","Artificial intelligence (AI) is one of the key technologies of the Fourth Industrial Revolution (or Industry 4.0), which can be used for the protection of Internet-connected systems from cyber threats, attacks, damage, or unauthorized access. To intelligently solve today’s various cybersecurity issues, popular AI techniques involving machine learning and deep learning methods, the concept of natural language processing, knowledge representation and reasoning, as well as the concept of knowledge or rule-based expert systems modeling can be used. Based on these AI methods, in this paper, we present a comprehensive view on “AI-driven Cybersecurity” that can play an important role for intelligent cybersecurity services and management. The security intelligence modeling based on such AI methods can make the cybersecurity computing process automated and intelligent than the conventional security systems. We also highlight several research directions within the scope of our study, which can help researchers do future research in the area. Overall, this paper’s ultimate objective is to serve as a reference point and guidelines for cybersecurity researchers as well as industry professionals in the area, especially from an intelligent computing or AI-based technical point of view. © 2021, The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd.","2-s2.0-85131828113"
"Santra D.; Goswami S.; Mandal J.K.; Basu S.K.","Santra, Debarpita (55547994100); Goswami, Subrata (55947825300); Mandal, Jyotsna Kumar (24605629500); Basu, Swapan Kumar (55455657400)","55547994100; 55947825300; 24605629500; 55455657400","Low back pain expert systems: Clinical resolution through probabilistic considerations and poset","2021","Artificial Intelligence in Medicine","120","","102163","","","","10.1016/j.artmed.2021.102163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114954635&doi=10.1016%2fj.artmed.2021.102163&partnerID=40&md5=ff2e48f2a7351bfdea1a56b6553d4306","Objective: Proper diagnosis of Low Back Pain (LBP) is quite challenging in especially the developing countries like India. Though some developed countries prepared guidelines for evaluation of LBP with tests to detect psychological overlay, implementation of the recommendations becomes quite difficult in regular clinical practice, and different specialties of medicine offer different modes of management. Aiming at offering an expert-level diagnosis for the patients having LBP, this paper uses Artificial Intelligence (AI) to derive a clinically justified and highly sensitive LBP resolution technique. Materials and methods: The paper considers exhaustive knowledge for different LBP disorders (classified based on different pain generators), which have been represented using lattice structures to ensure completeness, non-redundancy, and optimality in the design of knowledge base. Further the representational enhancement of the knowledge has been done through construction of a hierarchical network, called RuleNet, using the concept of partially-ordered set (poset) with respect to the subset equality (⊆) relation. With implicit incorporation of probability within the knowledge, the RuleNet is used to derive reliable resolution logic along with effective resolution of uncertainties during clinical decision making. Results: The proposed methodology has been validated with clinical records of seventy seven LBP patients accessed from the database of ESI Hospital Sealdah, India over a period of one year from 2018 to 2019. Achieving 83% sensitivity of the proposed technique, the pain experts at the hospital find the design clinically satisfactory. The inferred outcomes have also been found to be homogeneous with the actual or original diagnosis. Discussions: The proposed approach achieves the clinical and computational efficiency by limiting the shortcomings of the existing methodologies for AI-based LBP diagnosis. While computational efficiency (with respect to both time and space complexity) is ensured by inferring clinical decisions through optimal processing of the knowledge items using poset, the clinical acceptability has been ascertained reaching to the most-likely diagnostic outcomes through probabilistic resolution of clinical uncertainties. Conclusion: The derived resolution technique, when embedded in LBP medical expert systems, would provide a fast, reliable, and affordable healthcare solution for this ailment to a wider range of general population suffering from LBP. The proposed scheme would significantly reduce the controversies and confusion in LBP treatment, and cut down the cost of unnecessary or inappropriate treatment and referral. © 2021 Elsevier B.V.","2-s2.0-85114954635"
"Keller P.; Drake A.","Keller, Perry (36967519800); Drake, Archie (57215284894)","36967519800; 57215284894","Exclusivity and paternalism in the public governance of explainable AI","2021","Computer Law and Security Review","40","","105490","","","","10.1016/j.clsr.2020.105490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095916201&doi=10.1016%2fj.clsr.2020.105490&partnerID=40&md5=1385173fbe66440e5dd5d37a5d62db7f","In this comment, we address the apparent exclusivity and paternalism of goal and standard setting for explainable AI and its implications for the public governance of AI. We argue that the widening use of AI decision-making, including the development of autonomous systems, not only poses widely-discussed risks for human autonomy in itself, but is also the subject of a standard-setting process that is remarkably closed to effective public contestation. The implications of this turn in governance for democratic decision-making in Britain have also yet to be fully appreciated. As the governance of AI gathers pace, one of the major tasks will be ensure not only that AI systems are technically ‘explainable’ but that, in a fuller sense, the relevant standards and rules are contestable and that governing institutions and processes are open to democratic contestability. © 2020 Perry Keller","2-s2.0-85095916201"
"Morley J.; Elhalal A.; Garcia F.; Kinsey L.; Mökander J.; Floridi L.","Morley, Jessica (57209294694); Elhalal, Anat (8219521000); Garcia, Francesca (57224823596); Kinsey, Libby (57201436846); Mökander, Jakob (57222069643); Floridi, Luciano (6603039594)","57209294694; 8219521000; 57224823596; 57201436846; 57222069643; 6603039594","Ethics as a Service: A Pragmatic Operationalisation of AI Ethics","2021","Minds and Machines","31","2","","239","256","17","10.1007/s11023-021-09563-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108377488&doi=10.1007%2fs11023-021-09563-w&partnerID=40&md5=39fcdcd33f27500c91d92d994d0a5967","As the range of potential uses for Artificial Intelligence (AI), in particular machine learning (ML), has increased, so has awareness of the associated ethical issues. This increased awareness has led to the realisation that existing legislation and regulation provides insufficient protection to individuals, groups, society, and the environment from AI harms. In response to this realisation, there has been a proliferation of principle-based ethics codes, guidelines and frameworks. However, it has become increasingly clear that a significant gap exists between the theory of AI ethics principles and the practical design of AI systems. In previous work, we analysed whether it is possible to close this gap between the ‘what’ and the ‘how’ of AI ethics through the use of tools and methods designed to help AI developers, engineers, and designers translate principles into practice. We concluded that this method of closure is currently ineffective as almost all existing translational tools and methods are either too flexible (and thus vulnerable to ethics washing) or too strict (unresponsive to context). This raised the question: if, even with technical guidance, AI ethics is challenging to embed in the process of algorithmic design, is the entire pro-ethical design endeavour rendered futile? And, if no, then how can AI ethics be made useful for AI practitioners? This is the question we seek to address here by exploring why principles and technical translational tools are still needed even if they are limited, and how these limitations can be potentially overcome by providing theoretical grounding of a concept that has been termed ‘Ethics as a Service.’ © 2021, The Author(s).","2-s2.0-85108377488"
"Yu J.; Park S.; Kwon S.-H.; Cho K.-H.; Lee H.","Yu, Jaehak (25227980300); Park, Sejin (57191670651); Kwon, Soon-Hyun (56115728600); Cho, Kang-Hee (57199155482); Lee, Hansung (13005677900)","25227980300; 57191670651; 56115728600; 57199155482; 13005677900","AI-Based Stroke Disease Prediction System Using ECG and PPG Bio-Signals","2022","IEEE Access","10","","","43623","43638","15","10.1109/ACCESS.2022.3169284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129184805&doi=10.1109%2fACCESS.2022.3169284&partnerID=40&md5=77d7abe3c5d3f03fb35841182125f48a","Since stroke disease often causes death or serious disability, active primary prevention and early detection of prognostic symptoms are very important. Stroke diseases can be divided into ischemic stroke and hemorrhagic stroke, and they should be minimized by emergency treatment such as thrombolytic or coagulant administration by type. First, it is essential to detect in real time the precursor symptoms of stroke, which occur differently for each individual, and to provide professional treatment by a medical institution within the proper treatment window. However, prior studies have focused on developing acute treatment or clinical treatment guidelines after the onset of stroke rather than detecting the prognostic symptoms of stroke. In particular, in recent studies, image analysis such as magnetic resonance imaging (MRI) or computed tomography (CT) has mostly been used to detect and predict prognostic symptoms in stroke patients. Not only are these methodologies difficult to diagnose early in real-time, but they also have limitations in terms of a long test time and a high cost of testing. In this paper, we propose a system that can predict and semantically interpret stroke prognostic symptoms based on machine learning using the multi-modal bio-signals of electrocardiogram (ECG) and photoplethysmography (PPG) measured in real-time for the elderly. To predict stroke disease in real-time while walking, we designed and implemented a stroke disease prediction system with an ensemble structure that combines CNN and LSTM. The proposed system considers the convenience of wearing the bio-signal sensors for the elderly, and the bio-signals were collected at a sampling rate of 1,000Hz per second from the three electrodes of the ECG and the index finger for PPG while walking. According to the experimental results, C4.5 decision tree showed a prediction accuracy of 91.56% while RandomForest showed a prediction accuracy of 97.51% during walking by the elderly. In addition, the CNN-LSTM model using raw data of ECG and PPG showed satisfactory prediction accuracy of 99.15%. As a result, the real-time prediction of the elderly stroke patients simultaneously showed high prediction accuracy and performance.  © 2013 IEEE.","2-s2.0-85129184805"
"Seth D.; Talwadker R.; Mukherjee T.; Chitapure U.; Adiga N.; Gupta A.","Seth, Deepanshi (57217015342); Talwadker, Rukma (55837241100); Mukherjee, Tridib (15060197100); Chitapure, Usama (57226481549); Adiga, Nagesh (57226469940); Gupta, Avantika (58264137100)","57217015342; 55837241100; 15060197100; 57226481549; 57226469940; 58264137100","AI Based Information Retrieval System for Identifying Harmful Online Gaming Patterns","2021","SIGIR 2021 - Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval","","","3464921","2639","2640","1","10.1145/3404835.3464921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111620180&doi=10.1145%2f3404835.3464921&partnerID=40&md5=1b5b2108244f38e484700d88c72fefcb","Games of skill are an excellent source of recreation and relaxation. Games are also the safest and readily accessible constructs for social interaction and community affairs which potentially opens up new avenues for realising personal worth, social acceptance, respect and recognition. However, when these games are played with real money, ensuring game prudence, whereby users play real-money skill games only for entertainment purposes, and do so well within their resourceful means, becomes necessary. It becomes paramount for the wellness of players and also to ensure online gaming is only available for sheer entertainment. In this proposal, we present an automated, data driven, AI powered, Responsible Game Play (RGP) framework cum tool which has been integrated in our online skill gaming platform. RGP pipeline is a combination of: a) a couple of anomaly detection Rule Based Engines; b) a Deep Learning Pipeline which models the game play characteristics of healthy and engaged players to identify potentially risky players, and c) a ML based Local Expert which leverages users' longitudinal behavioral patterns and constructs new features using the adjacent AI OPS and Signal Processing Domains. We integrate the psychometric assessment to nudge and coarse correct at-risk players proactively, ahead of time  © 2021 Owner/Author.","2-s2.0-85111620180"
"Tanikawa C.; Kajiwara T.; Shimizu Y.; Yamashiro T.; Chu C.; Nagahara H.","Tanikawa, Chihiro (22837117000); Kajiwara, Tomoyuki (56903744700); Shimizu, Yuujin (57219510475); Yamashiro, Takashi (55416765600); Chu, Chenhui (57687731700); Nagahara, Hajime (7006675539)","22837117000; 56903744700; 57219510475; 55416765600; 57687731700; 7006675539","Machine/deep learning for performing orthodontic diagnoses and treatment planning","2021","Machine Learning in Dentistry","","","","69","78","9","10.1007/978-3-030-71881-7_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118531030&doi=10.1007%2f978-3-030-71881-7_6&partnerID=40&md5=dc36744d7df6a575a18faf5552e1ae78","As automated treatment planning is expected to reduce inter-planner variability and the planning time allocated for the optimization process in order to improve the plan quality, researchers have attempted to develop such systems. Artificial intelligence (AI) attempts to reflect advanced human intelligence in machines, and efforts to develop AI systems have been made since the advent of computers. In the 1980s, an expert system that expressed expert knowledge in a program produced useful results as AI technology. However, because it was a system in which rules were embedded in advance, it was limited by its difficulty in handling exceptions. Furthermore, making rules is time-consuming. The importance of machine learning that inductively learns general rules and laws based on various events (data) became recognized in the 1990s. Machine learning techniques can be said to be general-purpose techniques for detecting regularity and specificity in observational data. In this chapter, we will introduce several AI systems that have been used to derive orthodontic diagnoses and develop treatment plans in the past. We will then introduce a newly developed AI system that uses natural language processing to conduct various clinical text evaluations and develop accompanying treatment protocols. © Springer Nature Switzerland AG 2021. All rights reserved.","2-s2.0-85118531030"
"Rathod K.; Sonawane A.","Rathod, Kundan (57693971600); Sonawane, Aditi (57693860100)","57693971600; 57693860100","Application of Artificial Intelligence in Project Planning to Solve Late and Over-Budgeted Construction Projects","2022","International Conference on Sustainable Computing and Data Communication Systems, ICSCDS 2022 - Proceedings","","","","424","431","7","10.1109/ICSCDS53736.2022.9761027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130092685&doi=10.1109%2fICSCDS53736.2022.9761027&partnerID=40&md5=2cdd5ae3b2a55638a974ca55f00db9ad","Advance use of Artificial Intelligence (AI), has reduced the need of human intervention within several tasks that are repetitive and rule-based. AI can have a great impact on the workforce of a project within the construction industry. Use of Machine learning techniques within the project process can be beneficial for a project manager to manage financial aspects and time scheduling both. The major problem that construction project managers face is ineffective tracking process, cost management process. This is the main reason, the AI-based solution are needed within construction sites. The aim of this research is to identify the role of AI in time management as well as cost management of a construction project in India. Intelligence robotics is a major AI-based tool that is used within construction project for marinating cost. Some challenges are also found within construction project that might have a huge effect within its implementation process such as cultural barriers, high-cost of maintenance and unavailability of similar input parameters in all projects. As per the findings, ANN, SVM, Regression and many other AI-based are effective Ai-based machine learning tools that are used within construction project to replace various time consuming process by modern technologies. Construction delays are the major effective factor for cost overrun and time overrun within a project. As per this research article, it has been found that, use of AI, especially ANN model can reduce the tendency of delay in construction projects and mismanagement of costs.  © 2022 IEEE.","2-s2.0-85130092685"
"Hepworth A.J.; Baxter D.P.; Abbass H.A.","Hepworth, Adam J. (57221420762); Baxter, Daniel P. (57221417553); Abbass, Hussein A. (6701824380)","57221420762; 57221417553; 6701824380","Onto4MAT: A Swarm Shepherding Ontology for Generalized Multiagent Teaming","2022","IEEE Access","10","","","59843","59861","18","10.1109/ACCESS.2022.3180032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131723862&doi=10.1109%2fACCESS.2022.3180032&partnerID=40&md5=c5ec70643015968f001f987b188fe7d0","Research in multi-agent teaming has increased substantially over recent years. Underneath these attempts sits a suite of communication functions to enable effective teaming. The Artificial Intelligence (AI) systems supporting the teaming arrangement have primarily relied on knowledge-based systems, with rules triggered based on the mode of interaction. Enabling humans to join the team of AI agents effectively calls for both the humans and AI agents to share their understanding and representation of their shared worlds. Such shared understanding requires formal representations of concepts to support transparency during bi-directional communications between team members. Little research has been done in this space, especially when humans need to team with a swarm of agents. We present an ontology designed specifically for human-agent teaming to address this research gap. The ontology is general, but we then contextualise it into a particular swarm-shepherding scenario to illustrate its use in a particular context. The proposed Ontology for Generalised Multi-Agent Teaming Onto4MAT offers the underlying building blocks for effective communication and shared understanding between humans and multi-agent teams.  © 2013 IEEE.","2-s2.0-85131723862"
"Peng L.; Zeng H.","Peng, Li (57765583400); Zeng, Hongwu (57202730262)","57765583400; 57202730262","Research and development of the clinical thinking mining and discovery system based on artificial intelligence","2022","Proceedings of SPIE - The International Society for Optical Engineering","12260","","1226021","","","","10.1117/12.2637407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132935531&doi=10.1117%2f12.2637407&partnerID=40&md5=0ce5ddc8687d0fc92f1806470bdfc51b","An AI-based clinical thinking mining discovery system that can be used on PCs and mobile terminals (cell phones, pads, etc.). The system utilizes artificial intelligence technology to obtain massive medical case data and case discussions from the Internet for data extraction and organization, and intelligently classifies them by disease type and clinical presentation. Using natural language processing technology and intelligent mapping mechanism of medical terms, it mines the information of clinical features, tests, inspections, disposal measures and reasons (drugs, surgeries, etc.) of the extracted cases, abstracts and visualizes the diagnostic rules and clinical treatment channels of the cases. The medical case data processed on the Internet will be combined with the typical case data in the HIS system to form a clinical knowledge repository of diseases, guide junior doctors and students to conduct clinical thinking training and consolidate medical knowledge.  © The Authors.","2-s2.0-85132935531"
"Ryan M.; Stahl B.C.","Ryan, Mark (57211005946); Stahl, Bernd Carsten (10045088600)","57211005946; 10045088600","Artificial intelligence ethics guidelines for developers and users: clarifying their content and normative implications","2021","Journal of Information, Communication and Ethics in Society","19","1","","61","86","25","10.1108/JICES-12-2019-0138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086091728&doi=10.1108%2fJICES-12-2019-0138&partnerID=40&md5=47053a211fa92e106eba8b4b9431dc30","Purpose: The purpose of this paper is clearly illustrate this convergence and the prescriptive recommendations that such documents entail. There is a significant amount of research into the ethical consequences of artificial intelligence (AI). This is reflected by many outputs across academia, policy and the media. Many of these outputs aim to provide guidance to particular stakeholder groups. It has recently been shown that there is a large degree of convergence in terms of the principles upon which these guidance documents are based. Despite this convergence, it is not always clear how these principles are to be translated into practice. Design/methodology/approach: In this paper, the authors move beyond the high-level ethical principles that are common across the AI ethics guidance literature and provide a description of the normative content that is covered by these principles. The outcome is a comprehensive compilation of normative requirements arising from existing guidance documents. This is not only required for a deeper theoretical understanding of AI ethics discussions but also for the creation of practical and implementable guidance for developers and users of AI. Findings: In this paper, the authors therefore provide a detailed explanation of the normative implications of existing AI ethics guidelines but directed towards developers and organisational users of AI. The authors believe that the paper provides the most comprehensive account of ethical requirements in AI currently available, which is of interest not only to the research and policy communities engaged in the topic but also to the user communities that require guidance when developing or deploying AI systems. Originality/value: The authors believe that they have managed to compile the most comprehensive document collecting existing guidance which can guide practical action but will hopefully also support the consolidation of the guidelines landscape. The authors’ findings should also be of academic interest and inspire philosophical research on the consistency and justification of the various normative statements that can be found in the literature. © 2020, Mark Ryan and Bernd Carsten Stahl.","2-s2.0-85086091728"
"Han S.-H.; Choi H.-J.","Han, Seung-Ho (57193959163); Choi, Ho-Jin (35073646600)","57193959163; 35073646600","Checklist for Validating Trustworthy AI","2022","Proceedings - 2022 IEEE International Conference on Big Data and Smart Computing, BigComp 2022","","","","391","394","3","10.1109/BigComp54360.2022.00088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127568173&doi=10.1109%2fBigComp54360.2022.00088&partnerID=40&md5=e59326b91fca55c5a7c2174b7194883d","In the recent years AI technologies have been improved and utilized in the various real-world fields such as life, economy, finance, transportation, game, etc. Especially, the deep learning, one of the learning-based machine learning methods, has shown remarkable performance improvement in a broad variety of studies. As the widespread use of AI systems including the deep learning, however, the issue of reliability of AI-based systems has recently emerged. In the case of the many AI systems, they use a huge amount of data to train their models as well as the system is very complex for humans to comprehend. Hence, humans cannot be able to understand AI systems and have no confidence in the results they generate. Furthermore, it can cause various problems such as unexplained system error or uncontrollable system behavior when using AI systems in the real-world, and even can lead to very serious situations in sensitive services such as aviation, medical care, and security. In this paper, we examine a checklist to improve a reliability of AI system. Specifically, we introduce considerations with regard to the life cycle of an AI system.  © 2022 IEEE.","2-s2.0-85127568173"
"Lu Q.; Zhu L.; Xu X.; Whittle J.; Douglas D.; Sanderson C.","Lu, Qinghua (56431802100); Zhu, Liming (57191568259); Xu, Xiwei (55706225900); Whittle, Jon (23006933800); Douglas, David (57196901046); Sanderson, Conrad (55616049200)","56431802100; 57191568259; 55706225900; 23006933800; 57196901046; 55616049200","Software engineering for Responsible AI: An empirical study and operationalised patterns","2022","Proceedings - International Conference on Software Engineering","","","","241","242","1","10.1109/ICSE-SEIP55303.2022.9793864","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132823818&doi=10.1109%2fICSE-SEIP55303.2022.9793864&partnerID=40&md5=08b040095394ccd2b2f8e2b2a1dc8a59","AI ethics principles and guidelines are typically high-level and do not provide concrete guidance on how to develop responsible AI systems. To address this shortcoming, we perform an empirical study involving interviews with 21 scientists and engineers to understand the practitioners' views on AI ethics principles and their implementation. Our major findings are: (1) the current practice is often a done-once-and-forget type of ethical risk assessment at a particular development step, which is not sufficient for highly uncertain and continual learning AI systems; (2) ethical requirements are either omitted or mostly stated as high-level objectives, and not specified explicitly in verifiable way as system outputs or outcomes; (3) although ethical requirements have the characteristics of cross-cutting quality and non-functional requirements amenable to architecture and design analysis, system-level architecture and design are under-explored; (4) there is a strong desire for continuously monitoring and validating AI systems post deployment for ethical requirements but current operation practices provide limited guidance. To address these findings, we suggest a preliminary list of patterns to provide operationalised guidance for developing responsible AI systems.  © 2022 IEEE.","2-s2.0-85132823818"
"Jiang Y.; Gu X.; Hua L.; Li K.; Tao Y.; Li B.","Jiang, Yizhang (55437846600); Gu, Xiaoqing (55639726400); Hua, Lei (57219713570); Li, Kang (57220546571); Tao, Yuwen (57222348052); Li, Bo (57226853686)","55437846600; 55639726400; 57219713570; 57220546571; 57222348052; 57226853686","Forecasting Trend of Coronavirus Disease 2019 using Multi-Task Weighted TSK Fuzzy System","2021","ACM Transactions on Internet Technology","22","3","64","","","","10.1145/3475870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137614940&doi=10.1145%2f3475870&partnerID=40&md5=7e56adf1cd0999be8c5506a05eeec81b","Artificial intelligence-(AI) based fog/edge computing has become a promising paradigm for infectious disease. Various AI algorithms are embedded in cooperative fog/edge devices to construct medical Internet of Things environments, infectious disease forecast systems, smart health, and so on. However, these systems are usually done in isolation, which is called single-task learning. They do not consider the correlation and relationship between multiple/different tasks, so some common information in the model parameters or data characteristics is lost. In this study, each data center in fog/edge computing is considered as a task in the multi-task learning framework. In such a learning framework, a multi-task weighted Takagi-Sugeno-Kang (TSK) fuzzy system, called MW-TSKFS, is developed to forecast the trend of Coronavirus disease 2019 (COVID-19). MW-TSKFS provides a multi-task learning strategy for both antecedent and consequent parameters of fuzzy rules. First, a multi-task weighted fuzzy c-means clustering algorithm is developed for antecedent parameter learning, which extracts the public information among all tasks and the private information of each task. By sharing the public cluster centroid and public membership matrix, the differences of commonality and individuality can be further exploited. For consequent parameter learning of MW-TSKFS, a multi-task collaborative learning mechanism is developed based on ϵ-insensitive criterion and L2 norm penalty term, which can enhance the generalization and forecasting ability of the proposed fuzzy system. The experimental results on the real COVID-19 time series show that the forecasting tend model based on multi-task the weighted TSK fuzzy system has a high application value.  © 2021 Association for Computing Machinery.","2-s2.0-85137614940"
"Grua E.M.; de Sanctis M.; Malavolta I.; Hoogendoorn M.; Lago P.","Grua, Eoin Martino (57207728498); de Sanctis, Martina (56358489900); Malavolta, Ivano (25823118300); Hoogendoorn, Mark (10640498300); Lago, Patricia (56187491900)","57207728498; 56358489900; 25823118300; 10640498300; 56187491900","Social sustainability in the e-health domain via personalized and self-adaptive mobile apps","2021","Software Sustainability","","","","301","328","27","10.1007/978-3-030-69970-3_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124488061&doi=10.1007%2f978-3-030-69970-3_13&partnerID=40&md5=798c90e2f8a7402aa52f5b87ddf40d30","Within software engineering, social sustainability is the dimension of sustainability that focuses on the ""support of current and future generations to have the same or greater access to social resources by pursuing social equity."" An important domain that strives to achieve social sustainability is e-Health, and more recently e-Health mobile apps.A wealth of e-Health mobile apps is available for many purposes, such as lifestyle improvement and mental coaching. The interventions, prompts, and encouragements of e-Health apps sometimes take context into account (e.g., previous interactions or geographical location of the user), but they still tend to be rigid, e.g., apps use fixed sets of rules or they are not sufficiently tailored toward individuals' needs. Personalization to the different users' characteristics and run-time adaptation to their changing needs and context provide a great opportunity for getting users continuously engaged and active, eventually leading to better physical and mental conditions. This chapter presents a reference architecture for enabling AI-based personalization and self-adaptation of mobile apps for e-Health. The reference architecture makes use of a dedicated goal model and multiple MAPE loops operating at different levels of granularity and for different purposes. The proposed reference architecture is instantiated in the context of a fitness-based mobile application and exemplified through a series of typical usage scenarios extracted from our industrial collaborations. © Springer Nature Switzerland AG 2021. All rights reserved.","2-s2.0-85124488061"
"Montalbo F.J.P.","Montalbo, Francis Jesmar P. (57212309186)","57212309186","Diagnosing Covid-19 chest x-rays with a lightweight truncated DenseNet with partial layer freezing and feature fusion","2021","Biomedical Signal Processing and Control","68","","102583","","","","10.1016/j.bspc.2021.102583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103685033&doi=10.1016%2fj.bspc.2021.102583&partnerID=40&md5=1b497a79cade425c1222a46b7ca25e9e","Due to the unforeseen turn of events, our world has undergone another global pandemic from a highly contagious novel coronavirus named COVID-19. The novel virus inflames the lungs similarly to Pneumonia, making it challenging to diagnose. Currently, the common standard to diagnose the virus's presence from an individual is using a molecular real-time Reverse-Transcription Polymerase Chain Reaction (rRT-PCR) test from fluids acquired through nasal swabs. Such a test is difficult to acquire in most underdeveloped countries with a few experts that can perform the test. As a substitute, the widely available Chest X-Ray (CXR) became an alternative to rule out the virus. However, such a method does not come easy as the virus still possesses unknown characteristics that even experienced radiologists and other medical experts find difficult to diagnose through CXRs. Several studies have recently used computer-aided methods to automate and improve such diagnosis of CXRs through Artificial Intelligence (AI) based on computer vision and Deep Convolutional Neural Networks (DCNN), which some require heavy processing costs and other tedious methods to produce. Therefore, this work proposed the Fused-DenseNet-Tiny, a lightweight DCNN model based on a densely connected neural network (DenseNet) truncated and concatenated. The model trained to learn CXR features based on transfer learning, partial layer freezing, and feature fusion. Upon evaluation, the proposed model achieved a remarkable 97.99 % accuracy, with only 1.2 million parameters and a shorter end-to-end structure. It has also shown better performance than some existing studies and other massive state-of-the-art models that diagnosed COVID-19 from CXRs. © 2021 Elsevier Ltd","2-s2.0-85103685033"
"Bublin M.; Schefer-Wenzl S.; Miladinović I.","Bublin, Mugdim (57219588402); Schefer-Wenzl, Sigrid (55234970500); Miladinović, Igor (6602306899)","57219588402; 55234970500; 6602306899","Educating AI Software Engineers: Challenges and Opportunities","2022","Lecture Notes in Networks and Systems","390 LNNS","","","241","251","10","10.1007/978-3-030-93907-6_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124767420&doi=10.1007%2f978-3-030-93907-6_26&partnerID=40&md5=0b44ae9d51ed6da5e6e3c22acf30149b","To properly develop, test und use Artificial Intelligence (AI) applications, students and professionals need a well-defined AI software engineering (AISE) process and the appropriate tools. However, AISE, which is today mainly based on the use of deep learning (DL) neural networks, is still under development. This makes the education of AI software engineers particularly challenging, since there are no well-established methodologies, tools and practices, like in traditional Software Engineering (SE) education drawing on decades of experience and methods in all phases of software development, from requirements analysis over design and implementation to integration and testing. We analyze the main differences between traditional SE and AISE education and address challenges in AISE education. Our methodology is based on literature survey, analysis of own industry experience and statistical analysis of students works on AI applications. Our goal is to provide guidelines for an AISE process and propose a curriculum path for AISE education, which can be used to update a traditional SE curriculum. According to results of our analysis, the main challenges for the students are: Dealing with data and taking into account that algorithms change (learn) by data, selection and re-use of AI algorithms, model test, maintenance and automatizing the AISE process. We propose to address these challenges in SE curricula by teaching more statistical thinking with connections to software development, developing re-engineering capabilities, teaching a model-based AI approach and combining AI with virtual reality simulations. In the whole process, we consider an optimal division of work between humans and AI systems by explicitly including humans in the AISE loop. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","2-s2.0-85124767420"
